genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[16, 10759, 10765]",['JP'],ja,45.9911,8.575,3944,2020.0
[35],['US'],en,48.8082,8.25,2165,1989.0
"[35, 10751, 18]",['US'],en,47.3213,8.047,2793,2017.0
"[10765, 10759]",['US'],en,49.9326,8.451,11228,2019.0
"[10767, 35]",['US'],en,46.6004,5.3,113,2014.0
[16],['JP'],ja,43.2735,6.4,27,2024.0
"[10766, 35, 18]",['CO'],es,43.0407,7.49,208,2024.0
[35],['US'],en,41.775,6.5,191,2009.0
"[35, 10765]",['US'],en,38.8065,5.5,22,2019.0
"[18, 10765]",['US'],en,42.3421,8.2,2711,2014.0
"[35, 80, 9648]",['US'],en,50.2983,7.953,1162,2002.0
"[80, 18, 9648]",['GB'],en,46.1008,8.2,514,1989.0
"[18, 80, 10759]",['US'],en,44.2229,8.219,2658,2018.0
"[35, 18, 9648, 10765]",['US'],en,44.7069,8.2,2418,1998.0
"[10765, 18, 9648]",['GB'],en,46.1278,8.282,5689,2011.0
"[10759, 18, 80]",['US'],en,43.4683,7.8,1641,2001.0
[18],['US'],en,43.2801,8.3,1203,2015.0
[18],['US'],en,44.7337,7.6,626,2009.0
"[10763, 10767]",['DE'],de,48.9479,0.0,0,2003.0
"[80, 18, 10759]",['US'],en,47.8954,7.8,1790,2010.0
"[80, 18, 35]",['US'],en,45.6961,8.3,2222,2022.0
[18],['US'],en,41.6825,8.399,1267,2018.0
[35],['SE'],sv,38.2649,4.5,2,2025.0
"[16, 10759, 10765]",['JP'],ja,42.2952,8.7,1941,2011.0
"[10759, 18, 80, 9648]",['US'],en,43.6424,7.5,1201,2009.0
[10766],['ZA'],af,45.1279,5.6,97,2005.0
"[18, 9648, 10765]",['US'],en,41.9661,8.3,3374,2011.0
[10764],['US'],en,43.6676,5.7,23,1984.0
"[16, 35]",['US'],en,42.9918,8.35,4680,1997.0
"[18, 80]","['AT', 'CH', 'DE']",de,42.4729,6.1,116,1970.0
"[10765, 18]",['US'],en,41.832,8.125,1702,2023.0
"[16, 35, 18]",['JP'],ja,40.7663,8.47,794,2022.0
"[16, 10759, 10765]",['JP'],ja,42.0614,8.612,1354,2024.0
"[18, 10759, 80, 10765]",['US'],en,37.582,8.079,1894,2011.0
"[10765, 10759, 18, 80]",['US'],en,42.9317,7.889,8365,2014.0
"[80, 18]",['US'],en,44.1984,8.418,3069,2008.0
[10766],['ZA'],af,42.9684,7.5,2,2000.0
"[16, 35, 18, 10765]",['JP'],ja,39.017,7.8,21,2025.0
"[80, 18]","['GB', 'US']",en,41.365,8.458,414,2025.0
"[18, 80]",['US'],en,40.6288,8.346,652,2017.0
"[10759, 16, 35, 10765, 10762, 10751]",['JP'],ja,45.365,8.0,193,2005.0
"[18, 9648, 80]",['US'],en,40.6005,7.6,1718,2012.0
"[80, 9648, 10759, 18]",['US'],en,42.0119,7.3,264,2002.0
"[16, 10762]",['US'],en,41.4538,7.0,786,2013.0
"[80, 18]",['US'],en,40.721,8.693,5856,2015.0
[18],['GB'],en,40.4373,8.128,1103,2010.0
"[18, 10751, 9648]",['US'],en,39.2041,7.1,115,1993.0
"[35, 18, 10751]",['HK'],cn,36.1994,0.0,0,1981.0
"[18, 80, 9648]",['US'],en,38.6995,7.513,79,2025.0
"[16, 10759, 18, 10765]",['JP'],ja,38.292,8.761,519,2023.0
"[10759, 10765, 18]",['US'],en,38.9729,7.282,3419,2022.0
"[16, 10759, 10765, 18]",['JP'],ja,39.041,8.655,29,2025.0
[35],['US'],en,42.4574,8.142,5354,2005.0
[18],['US'],en,38.9473,8.03,2698,2010.0
"[16, 10765, 10759, 18]",['US'],en,40.1386,8.63,5097,2021.0
"[99, 18, 80]",['CA'],en,39.1354,8.2,266,2003.0
"[35, 10751]",['US'],en,40.9704,7.685,817,1993.0
"[10759, 18]","['TW', 'CN']",zh,35.1211,7.4,6,1988.0
"[10759, 18]",['KR'],ko,42.8289,8.5,297,2022.0
"[35, 80, 18, 9648]",['GB'],en,39.1502,7.5,289,2011.0
[35],['US'],en,37.9841,8.472,4606,2000.0
"[10765, 10759]","['CA', 'US']",en,38.3903,8.286,1687,1997.0
"[10764, 35]",['KR'],ko,37.1729,9.5,2,2013.0
"[18, 10765, 10759]",['US'],en,38.2261,8.096,2701,2019.0
"[80, 18, 35]",['GB'],en,37.7167,8.0,622,2022.0
"[18, 9648, 10765]",['US'],en,36.5386,8.1,5832,2011.0
"[10765, 18]",['US'],en,40.4906,8.0,1374,1966.0
"[10759, 18, 9648]",['US'],en,37.1541,8.333,1094,2020.0
"[9648, 10765, 80]",['US'],en,37.8957,8.377,3310,1993.0
"[9648, 18]",['AR'],es,36.5133,5.833,6,2025.0
"[10759, 16, 10765]",['JP'],ja,36.7048,8.553,1339,2021.0
"[18, 9648, 10765]",['US'],en,37.3241,8.4,2175,2022.0
"[18, 9648]",['CN'],zh,33.9036,10.0,1,2025.0
"[35, 18]",['US'],en,37.0319,7.653,193,2025.0
"[35, 18, 9648]",['US'],en,36.2405,7.611,1171,2021.0
[35],['GE'],ka,29.4974,0.0,0,2024.0
"[18, 9648]",['US'],en,35.696,8.281,3766,2014.0
