popularity,vote_count,year,genre_cluster_0,genre_cluster_1,genre_cluster_2,genre_cluster_3,genre_cluster_4,genre_cluster_5,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,lang_macroarea_Africa,lang_macroarea_Eurasia,lang_macroarea_North America,lang_macroarea_Papunesia,lang_macroarea_South America,vote_average
-0.6723741167207794,-0.4629293670539064,0.596384476095875,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.6541935514670518,-0.4629293670539064,-0.3625455856159298,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.6450134882710339,-0.4629293670539064,-0.1068309024927818,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
-0.5705853964421934,-0.4629293670539064,0.532455805315088,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.6956946195585856,-0.4629293670539064,0.4685271345343009,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.3398268885735844,-0.4629293670539064,0.8520991592190228,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.2503156611268366,-0.4629293670539064,0.532455805315088,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.6963904189695307,-0.4629293670539064,0.7242418176574489,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
-0.9455763886570412,-0.4629293670539064,-0.2346882440543558,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.6762346811944104,-0.4629293670539064,-0.1068309024927818,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.5144500955785234,-0.4629293670539064,0.404598463753514,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.7715143102093162,-0.4629293670539064,0.532455805315088,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.5334611310969275,-0.4629293670539064,0.8520991592190228,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.3077752253855312,-0.4629293670539064,1.0438851715613835,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.6189995683586014,-0.4629293670539064,-0.2986169148351428,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
-0.6606801975884435,-0.4629293670539064,0.9160278299998098,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.4511996846093823,-0.4629293670539064,0.084955109849579,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.2391680019019179,-0.4629293670539064,-1.8329050135740304,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.0611928922034927,-0.4629293670539064,0.4685271345343009,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.9262735662888862,-0.4629293670539064,0.9799565007805968,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.263737856215391,-0.4629293670539064,0.532455805315088,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.8155292342371677,-0.4629293670539064,-0.2346882440543558,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
-0.5444592508183183,-0.4629293670539064,0.404598463753514,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.5967630721977911,-0.4629293670539064,-0.6656454792714991,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.7092739306431598,-0.4629293670539064,1.0438851715613835,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.6932480990491333,-0.4629293670539064,-0.8100462810814387,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.3125335955507045,-0.4629293670539064,1.0438851715613835,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.7207200681779713,-0.4629293670539064,-0.47531351434362756,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
-0.6540139903287434,-0.4629293670539064,-0.3625455856159298,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.5681837662173183,-0.4629293670539064,0.27674112219194,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.6640020786471493,-0.4629293670539064,0.084955109849579,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.4609633215049026,-0.4629293670539064,-0.3625455856159298,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.7558183228886819,-0.4629293670539064,1.000204904074675,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.6287632052541218,-0.4629293670539064,-0.4904029271775038,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.5350623126919066,-0.4629293670539064,0.6603131468766619,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
